timestamp,frame_ms,perception_ms,state_ms,behavior_ms,object_detection_ms,export_ms,total_loop_ms
2026-05-13T19:46:05.351662+00:00,2.386900,36.136600,0.017700,0.014100,0.247500,379.940800,8.945700,53.022300
2026-05-13T19:46:06.396453+00:00,2.143000,35.301900,0.019000,0.014300,0.259100,398.204300,7.045000,49.709300
2026-05-13T19:46:07.443571+00:00,2.788400,36.145100,0.018800,0.014800,0.229600,426.292000,7.490100,51.590600
2026-05-13T19:46:08.477654+00:00,3.381600,23.739700,0.011500,0.008800,0.209500,403.198600,6.467500,36.610800
2026-05-13T19:46:09.485159+00:00,1.868900,30.495900,0.012000,0.008400,0.209900,356.114400,5.992500,41.569000
2026-05-13T19:46:10.495306+00:00,1.820900,21.879900,0.011400,0.009000,0.178400,353.084900,6.139900,33.599400
2026-05-13T19:46:11.526725+00:00,2.368000,15.891400,0.008900,0.007000,0.244000,331.593900,12.163400,35.314300
2026-05-13T19:46:12.535876+00:00,2.727000,13.806400,0.007100,0.005000,0.123700,223.383900,4.975100,23.549400
2026-05-13T19:46:13.548098+00:00,1.584500,14.861200,0.012600,0.010000,0.129700,187.479300,4.219900,22.723000
2026-05-13T19:46:14.561583+00:00,2.079500,33.129400,0.019200,0.013800,0.229000,285.411400,6.916500,47.059000
2026-05-13T19:46:15.585458+00:00,2.431300,31.809100,0.017400,0.014500,0.226600,385.515200,7.368700,46.393500
2026-05-13T19:46:16.613663+00:00,2.282000,25.790500,0.012000,0.009100,0.186700,376.258500,6.001800,37.850800
2026-05-13T19:46:17.613248+00:00,2.669200,23.049000,0.013700,0.008100,0.180300,341.860700,5.580500,34.317700
2026-05-13T19:46:18.628250+00:00,2.784700,17.147700,0.008100,0.006700,0.134000,330.595600,5.834800,28.212900
2026-05-13T19:46:19.645227+00:00,2.348400,11.521400,0.007100,0.004700,0.124800,202.461700,5.148700,20.690900
2026-05-13T19:46:20.657958+00:00,2.535600,13.075300,0.008300,0.005800,0.113400,161.391200,4.526800,22.548500
2026-05-13T19:46:21.663344+00:00,1.855800,20.997400,0.010500,0.007900,0.170200,220.321100,5.353700,31.477300
2026-05-13T19:46:22.701972+00:00,37.231200,12.565600,0.007100,0.005200,0.123900,249.864200,4.841700,56.776700
2026-05-13T19:46:23.713904+00:00,3.930500,15.482700,0.008000,0.006100,0.119000,186.947500,4.823200,26.356300
2026-05-13T19:46:24.750196+00:00,2.779900,35.779500,0.020400,0.015300,0.212800,300.611900,6.844600,50.291400
2026-05-13T19:46:25.756916+00:00,2.501400,34.368900,0.023700,0.012900,0.230400,396.812500,7.028100,49.039600
2026-05-13T19:46:26.767106+00:00,2.213100,32.767800,0.015000,0.013300,0.209600,396.769900,6.873300,46.971000
2026-05-13T19:46:27.785809+00:00,2.520300,25.895100,0.010700,0.007900,0.189700,396.394700,6.518000,38.593700
2026-05-13T19:46:28.830411+00:00,2.171600,34.717400,0.018000,0.013900,0.394900,365.834900,6.764500,51.614500
2026-05-13T19:46:29.849703+00:00,2.788800,18.896500,0.008800,0.006600,0.149900,371.553000,5.539300,30.245500
2026-05-13T19:46:30.869922+00:00,2.265800,12.259900,0.006800,0.004600,0.124000,242.203300,4.824400,21.062100
2026-05-13T19:46:31.895503+00:00,1.694400,11.816200,0.007000,0.004800,0.123400,184.962200,4.449000,19.842100
2026-05-13T19:46:32.899255+00:00,2.521700,13.377300,0.007800,0.005700,0.136600,212.877300,4.569500,22.789400
2026-05-13T19:46:33.911154+00:00,2.410600,23.138300,0.011900,0.011200,0.153400,185.139500,5.669000,34.899000
2026-05-13T19:46:34.944656+00:00,2.320100,27.842900,0.019200,0.016300,0.224400,296.187900,7.161600,42.122500
2026-05-13T19:46:35.979258+00:00,2.639800,28.235800,0.013200,0.016700,0.218900,386.992000,9.995800,46.795900
2026-05-13T19:46:36.989504+00:00,2.127500,24.823800,0.011300,0.008500,0.200000,393.214100,6.180900,37.920500
2026-05-13T19:46:38.023967+00:00,3.146600,21.331500,0.010300,0.007600,0.199900,364.398800,6.054800,33.642400
2026-05-13T19:46:39.063509+00:00,1.774500,18.658600,0.009800,0.007400,0.168900,327.337700,5.179600,28.915300
2026-05-13T19:46:40.069580+00:00,2.371600,20.131500,0.013000,0.008200,0.153200,293.023300,5.570000,31.034800
2026-05-13T19:46:41.087237+00:00,2.928900,14.689400,0.007700,0.006000,0.131700,323.128100,5.376100,25.182700
2026-05-13T19:46:42.095487+00:00,1.793000,13.473600,0.006300,0.005400,0.134000,185.866000,5.052500,22.032300
2026-05-13T19:46:43.123331+00:00,2.761900,13.278100,0.010600,0.008700,0.130500,196.265800,4.126400,21.984900
2026-05-13T19:46:44.129036+00:00,2.532300,28.867200,0.015400,0.012400,0.208500,178.045600,6.866000,42.844500
2026-05-13T19:46:45.138401+00:00,2.404300,22.637200,0.010500,0.007700,0.204800,333.520600,6.017400,34.340600
2026-05-13T19:46:46.159450+00:00,1.742400,19.432000,0.010200,0.010400,0.265700,351.469400,5.496100,31.191800
2026-05-13T19:46:47.165864+00:00,18.488100,11.591000,0.007300,0.004700,0.134600,289.814700,5.500000,37.714200
2026-05-13T19:46:48.173376+00:00,1.469900,11.801400,0.007100,0.005200,0.133000,169.945900,4.877800,19.936800
2026-05-13T19:46:49.174368+00:00,1.482300,11.526000,0.007000,0.005700,0.102900,169.034200,4.281300,19.043300
2026-05-13T19:46:50.201959+00:00,2.057800,11.686600,0.007500,0.005600,0.107100,200.704300,4.527600,19.847700
2026-05-13T19:46:51.208404+00:00,2.317000,11.526000,0.006600,0.004900,0.114600,177.200700,8.052000,23.650600
2026-05-13T19:46:52.219252+00:00,2.716300,12.975900,0.009300,0.008200,0.138300,183.517900,5.113200,22.598600
2026-05-13T19:46:53.242886+00:00,1.860600,31.914200,0.015900,0.012400,0.199200,214.118900,7.043700,45.565800
2026-05-13T19:46:54.274862+00:00,8.152700,26.829900,0.011300,0.008300,0.186900,351.540100,6.275000,45.537100
2026-05-13T19:46:55.302266+00:00,2.289800,32.742100,0.015900,0.013500,0.213500,353.195500,6.879100,46.933600
2026-05-13T19:46:56.359872+00:00,17.413100,31.461100,0.015100,0.012900,0.207700,381.611700,6.658700,60.226200
2026-05-13T19:46:57.413688+00:00,24.338000,17.940300,0.012200,0.009800,0.140600,360.917000,5.891400,50.720200
2026-05-13T19:46:58.433322+00:00,1.688100,14.351700,0.008200,0.005900,0.113700,271.377800,5.075400,23.294000
2026-05-13T19:46:59.464910+00:00,2.482300,15.454200,0.009300,0.008200,0.142100,269.882400,4.730300,25.289200
2026-05-13T19:47:00.477914+00:00,4.578500,12.135300,0.006900,0.004900,0.103700,203.636700,4.773200,23.285600
2026-05-13T19:47:01.503423+00:00,1.600700,11.163700,0.007200,0.005700,0.102000,193.677100,4.496100,18.986400
2026-05-13T19:47:02.520246+00:00,1.455000,12.520200,0.007400,0.005400,0.145000,171.810500,4.725400,21.079200
2026-05-13T19:47:03.549604+00:00,2.186300,15.297100,0.008100,0.005900,0.137900,214.073900,4.821000,25.077300
2026-05-13T19:47:04.591095+00:00,9.380300,36.103400,0.015900,0.012700,0.209300,269.298500,8.417000,59.246200
2026-05-13T19:47:05.587763+00:00,2.341100,24.195800,0.011700,0.008700,0.156900,383.713700,5.998400,35.801300
2026-05-13T19:47:06.588698+00:00,1.603800,22.124200,0.009200,0.006400,0.157400,335.458600,6.127800,33.266200
2026-05-13T19:47:07.595500+00:00,2.269900,14.969400,0.009200,0.006600,0.161000,279.329200,6.776800,26.369800
2026-05-13T19:47:08.623856+00:00,1.709700,15.975300,0.008400,0.006200,0.142400,247.668600,5.309400,25.409000
2026-05-13T19:47:09.630545+00:00,5.848000,13.118300,0.007600,0.005300,0.117600,188.141100,4.383000,25.508800
2026-05-13T19:47:10.637134+00:00,2.577100,11.089600,0.006700,0.004300,0.227000,194.286800,4.284500,20.572800
